BYYY BM BD BH EYYY EM ED EH  SST SSTANOM HOTSPOT  DHW   Lat    Lon Reef_Name
2002 04 08 23 2002 04 13 00 29.70   1.20   0.80  0.50   5.5  -87.0 Isla del Coco, Costa Rica
2002 04 13 00 2002 04 15 23 29.20   0.70   0.30  0.50   5.5  -87.0 Isla del Coco, Costa Rica
2002 04 15 23 2002 04 20 00 29.20   0.80   0.30  0.50   5.5  -87.0 Isla del Coco, Costa Rica
2002 04 20 00 2002 04 23 00 29.20   0.90   0.30  0.50   5.5  -87.0 Isla del Coco, Costa Rica
2002 04 23 00 2002 04 26 23 30.00   1.80   1.10  1.05   5.5  -87.0 Isla del Coco, Costa Rica
2002 04 26 23 2002 04 30 00 29.90   1.80   1.00  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 04 30 00 2002 05 03 23 28.90   0.90   0.00  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 05 03 23 2002 05 06 23 28.70   0.80   0.00  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 05 06 23 2002 05 11 00 29.50   1.70   0.60  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 05 11 00 2002 05 13 23 29.00   1.30   0.10  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 05 13 23 2002 05 18 00 28.10   0.60   0.00  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 05 18 00 2002 05 21 00 28.10   0.80   0.00  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 05 21 00 2002 05 24 23 28.20   1.10   0.00  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 05 24 23 2002 05 28 00 28.00   1.10   0.00  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 05 28 00 2002 05 31 23 28.40   1.70   0.00  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 05 31 23 2002 06 03 23 28.40   1.90   0.00  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 06 03 23 2002 06 07 22 27.30   1.10   0.00  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 06 07 22 2002 06 10 23 28.30   2.30   0.00  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 06 10 23 2002 06 15 00 28.30   2.50   0.00  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 06 15 00 2002 06 18 00 27.10   1.30   0.00  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 06 18 00 2002 06 21 23 28.00   2.30   0.00  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 06 21 23 2002 06 24 22 28.80   3.20   0.00  1.55   5.5  -87.0 Isla del Coco, Costa Rica
2002 06 24 22 2002 06 28 23 28.00   2.40   0.00  1.05   5.5  -87.0 Isla del Coco, Costa Rica
2002 06 28 23 2002 07 02 00 28.20   2.70   0.00  1.05   5.5  -87.0 Isla del Coco, Costa Rica
2002 07 02 00 2002 07 06 00 28.20   2.80   0.00  1.05   5.5  -87.0 Isla del Coco, Costa Rica
2002 07 06 00 2002 07 08 23 27.60   2.20   0.00  1.05   5.5  -87.0 Isla del Coco, Costa Rica
2002 07 08 23 2002 07 13 00 27.80   2.50   0.00  1.05   5.5  -87.0 Isla del Coco, Costa Rica
2002 07 13 00 2002 07 16 00 27.80   2.50   0.00  1.05   5.5  -87.0 Isla del Coco, Costa Rica
2002 07 16 00 2002 07 20 00 27.70   2.40   0.00  0.50   5.5  -87.0 Isla del Coco, Costa Rica
2002 07 20 00 2002 07 23 00 27.70   2.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 07 23 00 2002 07 26 23 27.70   2.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 07 26 23 2002 07 30 00 27.50   2.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 07 30 00 2002 08 03 00 27.60   2.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 08 03 00 2002 08 05 23 27.70   2.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 08 05 23 2002 08 10 00 27.60   2.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 08 10 00 2002 08 12 23 27.70   2.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 08 12 23 2002 08 16 23 27.70   2.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 08 16 23 2002 08 20 00 27.70   2.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 08 20 00 2002 08 23 23 27.50   2.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 08 23 23 2002 08 27 00 27.60   2.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 08 27 00 2002 08 30 23 27.30   2.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 08 30 23 2002 09 02 23 27.40   2.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 09 02 23 2002 09 07 00 27.40   2.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 09 07 00 2002 09 09 23 26.90   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 09 09 23 2002 09 14 00 27.00   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 09 14 00 2002 09 16 23 27.00   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 09 16 23 2002 09 20 23 27.20   2.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 09 20 23 2002 09 24 00 27.20   2.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 09 24 00 2002 09 27 23 27.40   2.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 09 27 23 2002 10 01 00 27.10   2.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 10 01 00 2002 10 04 23 28.20   3.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 10 04 23 2002 10 07 23 27.50   2.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 10 07 23 2002 10 12 00 27.40   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 10 12 00 2002 10 14 23 27.60   2.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 10 14 23 2002 10 19 00 27.40   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 10 19 00 2002 10 22 00 27.40   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 10 22 00 2002 10 25 23 27.30   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 10 25 23 2002 10 29 00 27.50   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 10 29 00 2002 11 01 23 27.50   2.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 11 01 23 2002 11 04 23 27.30   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 11 04 23 2002 11 09 00 27.50   2.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 11 09 00 2002 11 11 23 26.90   1.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 11 11 23 2002 11 16 00 27.40   1.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 11 16 00 2002 11 19 00 27.40   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 11 19 00 2002 11 22 23 27.60   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 11 22 23 2002 11 26 00 27.60   1.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 11 26 00 2002 11 29 23 28.10   2.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 11 29 23 2002 12 02 23 28.00   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 12 02 23 2002 12 07 00 28.20   1.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 12 07 00 2002 12 09 23 27.90   1.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
